engine,entry_time,exit_time,side,entry_price,exit_price,hold_bars,gross_return,exit_reason,entry_confidence,entry_base_confirms,entry_box_width_pct,entry_warmup,take_profit_target,early_favorable_excursion,early_adverse_excursion,net_return,weighted_return
boundary,2023-11-05 09:00:00+00:00,2023-11-05 13:00:00+00:00,1,35108.0,34824.54074999999,4,-0.008073921898143044,price_stop,0.6330549298922787,0.0,0.014667858227944064,False,,0.002047966275492863,0.010003418024381872,-0.009673921898143045,-0.0
boundary,2023-11-05 22:00:00+00:00,2023-11-06 16:00:00+00:00,1,34964.1,34968.1,18,0.00011440305913779092,time_stop_early,0.629162978489816,0.0,0.014083505176261758,False,,0.013405178454471978,0.006692578959561324,-0.0014855969408622092,-0.0
boundary,2023-11-07 02:00:00+00:00,2023-11-07 18:00:00+00:00,-1,34819.4,35044.978571428575,16,-0.006478531262128939,price_stop,0.6281467442570062,0.0,0.009540060043156074,False,,0.008699173449284059,0.020982555701706485,-0.00807853126212894,-0.0
boundary,2023-11-07 22:00:00+00:00,2023-11-08 14:00:00+00:00,-1,35285.9,35308.3,16,-0.0006348144726364691,time_stop_early,0.7371477035555196,0.0,0.012116171048492424,False,,0.003624677279026489,0.00542426294922338,-0.002234814472636469,-0.0
boundary,2023-11-08 18:00:00+00:00,2023-11-10 00:00:00+00:00,1,35596.2,36503.9,30,0.025499912912052558,time_stop_max,0.6239183002631992,0.0,0.011264404627460064,False,,0.07116770891274915,0.0060821098881341795,0.023899912912052557,0.0
boundary,2023-11-10 07:00:00+00:00,2023-11-10 13:00:00+00:00,-1,36466.9,37236.450500000006,6,-0.021102712322681905,price_stop,0.6215051421840017,0.0,0.035753530370463874,False,,0.0037102139200206885,0.021748489726299614,-0.022702712322681905,-0.0
boundary,2023-11-10 16:00:00+00:00,2023-11-10 18:00:00+00:00,1,37388.6,37250.0,2,-0.0037070122978661857,early_failure,0.6261828139327849,0.0,0.039116736117426276,False,,0.0013747505924266434,0.006247893743012489,-0.0053070122978661856,-0.0
boundary,2023-11-10 22:00:00+00:00,2023-11-11 14:00:00+00:00,1,37360.0,37237.7,16,-0.0032735546038544783,time_stop_early,0.6262514799740395,0.0,0.0391947938972164,False,,0.0038784796573876346,0.012261777301927124,-0.004873554603854478,-0.0
boundary,2023-11-12 14:00:00+00:00,2023-11-12 23:00:00+00:00,1,37154.7,37016.04,9,-0.0037319639238103663,price_stop,0.6301565068479976,1.0,0.009694971295690791,False,,0.0020858733888309278,0.005829679690590894,-0.005331963923810366,-0.0
boundary,2023-11-13 03:00:00+00:00,2023-11-14 09:00:00+00:00,-1,36928.0,36491.3,30,0.011825714904679319,time_stop_max,0.7315662478691664,0.0,0.006777693529751594,False,,0.01969779029462737,0.003330805892547639,0.010225714904679318,0.0
